"","Entity","Code","Year","num_objects","cum_num_objects"
"1","Russia","RUS",1957,2,2
"2","Russia","RUS",1958,1,3
"3","United States","USA",1958,7,7
"4","Russia","RUS",1959,3,6
"5","United States","USA",1959,11,18
"6","Russia","RUS",1960,3,9
"7","United States","USA",1960,17,35
"8","Russia","RUS",1961,7,16
"9","United States","USA",1961,31,66
"10","Canada","CAN",1962,1,1
"11","Russia","RUS",1962,20,36
"12","United Kingdom","GBR",1962,1,1
"13","United States","USA",1962,55,121
"14","Russia","RUS",1963,17,53
"15","United States","USA",1963,54,175
"16","Italy","ITA",1964,2,2
"17","Russia","RUS",1964,35,88
"18","United Kingdom","GBR",1964,1,2
"19","United States","USA",1964,71,246
"20","Canada","CAN",1965,1,2
"21","France","FRA",1965,3,3
"22","Russia","RUS",1965,64,152
"23","United States","USA",1965,96,342
"24","France","FRA",1966,1,4
"25","Russia","RUS",1966,44,196
"26","United States","USA",1966,99,441
"27","France","FRA",1967,2,6
"28","Italy","ITA",1967,1,3
"29","Russia","RUS",1967,66,262
"30","United Kingdom","GBR",1967,1,3
"31","United States","USA",1967,85,526
"32","Russia","RUS",1968,74,336
"33","United States","USA",1968,61,587
"34","Canada","CAN",1969,1,3
"35","Germany","DEU",1969,1,1
"36","Russia","RUS",1969,70,406
"37","United Kingdom","GBR",1969,2,5
"38","United States","USA",1969,62,649
"39","China","CHN",1970,1,1
"40","France","FRA",1970,2,8
"41","Germany","DEU",1970,1,2
"42","Japan","JPN",1970,1,1
"43","Russia","RUS",1970,88,494
"44","United Kingdom","GBR",1970,1,6
"45","United States","USA",1970,31,680
"46","Canada","CAN",1971,1,4
"47","China","CHN",1971,1,2
"48","France","FRA",1971,2,10
"49","Italy","ITA",1971,1,4
"50","Japan","JPN",1971,2,3
"51","Russia","RUS",1971,98,592
"52","United Kingdom","GBR",1971,2,8
"53","United States","USA",1971,46,726
"54","Canada","CAN",1972,2,6
"55","France","FRA",1972,1,11
"56","Germany","DEU",1972,1,3
"57","Japan","JPN",1972,1,4
"58","Russia","RUS",1972,88,680
"59","United States","USA",1972,37,763
"60","Canada","CAN",1973,2,8
"61","Russia","RUS",1973,109,789
"62","United States","USA",1973,28,791
"63","China","CHN",1974,1,3
"64","France","FRA",1974,2,13
"65","Germany","DEU",1974,4,7
"66","Italy","ITA",1974,1,5
"67","Japan","JPN",1974,1,5
"68","Russia","RUS",1974,95,884
"69","United Kingdom","GBR",1974,4,12
"70","United States","USA",1974,19,810
"71","Canada","CAN",1975,1,9
"72","China","CHN",1975,3,6
"73","France","FRA",1975,7,20
"74","Germany","DEU",1975,2,9
"75","India","IND",1975,1,1
"76","Japan","JPN",1975,2,7
"77","Russia","RUS",1975,111,995
"78","United States","USA",1975,30,840
"79","Canada","CAN",1976,1,10
"80","China","CHN",1976,2,8
"81","Germany","DEU",1976,1,10
"82","Japan","JPN",1976,1,8
"83","Russia","RUS",1976,121,1116
"84","United States","USA",1976,26,866
"85","France","FRA",1977,2,22
"86","Italy","ITA",1977,1,6
"87","Japan","JPN",1977,4,12
"88","Russia","RUS",1977,104,1220
"89","United States","USA",1977,24,890
"90","Canada","CAN",1978,1,11
"91","China","CHN",1978,1,9
"92","Japan","JPN",1978,4,16
"93","Russia","RUS",1978,119,1339
"94","United States","USA",1978,35,925
"95","India","IND",1979,1,2
"96","Japan","JPN",1979,2,18
"97","Russia","RUS",1979,101,1440
"98","United Kingdom","GBR",1979,2,14
"99","United States","USA",1979,19,944
"100","India","IND",1980,1,3
"101","Japan","JPN",1980,2,20
"102","Russia","RUS",1980,110,1550
"103","United States","USA",1980,16,960
"104","China","CHN",1981,3,12
"105","India","IND",1981,3,6
"106","Japan","JPN",1981,3,23
"107","Russia","RUS",1981,124,1674
"108","United Kingdom","GBR",1981,2,16
"109","United States","USA",1981,20,980
"110","Canada","CAN",1982,2,13
"111","China","CHN",1982,1,13
"112","India","IND",1982,2,8
"113","Japan","JPN",1982,1,24
"114","Russia","RUS",1982,119,1793
"115","United States","USA",1982,20,1000
"116","Canada","CAN",1983,1,14
"117","China","CHN",1983,1,14
"118","Germany","DEU",1983,2,12
"119","India","IND",1983,2,10
"120","Japan","JPN",1983,3,27
"121","Russia","RUS",1983,116,1909
"122","United States","USA",1983,25,1025
"123","Canada","CAN",1984,1,15
"124","China","CHN",1984,3,17
"125","France","FRA",1984,1,23
"126","Germany","DEU",1984,1,13
"127","Japan","JPN",1984,3,30
"128","Russia","RUS",1984,115,2024
"129","United Kingdom","GBR",1984,2,18
"130","United States","USA",1984,31,1056
"131","Canada","CAN",1985,1,16
"132","China","CHN",1985,1,18
"133","France","FRA",1985,1,24
"134","Japan","JPN",1985,2,32
"135","Russia","RUS",1985,119,2143
"136","United States","USA",1985,30,1086
